30.9.2023, 23:18:54 - DEBUG - Getting Toys | {"txt":""} 
30.9.2023, 23:18:54 - DEBUG - Getting Toys | {"txt":""} 
30.9.2023, 23:18:54 - DEBUG - Getting Toys | {"txt":""} 
30.9.2023, 23:35:13 - DEBUG - Getting Toys | {"txt":""} 
30.9.2023, 23:35:14 - DEBUG - Getting Toys | {"txt":""} 
30.9.2023, 23:35:14 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 8:30:02 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 8:30:02 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 8:30:02 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 14:46:44 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 14:46:44 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 14:46:44 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 14:53:47 - DEBUG - auth.service - login with userName: carmel 
1.10.2023, 14:53:47 - INFO - User login:  | {"_id":"6517c91806d0ad2478e2bcd1","userName":"carmel","fullName":"carmel amarilio","cart":[{"_id":"6516ddf73160ba60a40da69e","name":"Talking Doll","price":123,"labels":["Doll","Battery Powered","Baby"],"createdAt":1695997431761,"inStock":true,"reviews":[{"txt":"“because im the devil who’s searching for redemption” is probably one of the best lines","rating":2,"at":1696006312202,"by":{"_id":"6516898fefb39746c4278d45","fullName":"carmel","userName":"carmel"},"id":"Ogrw7"},{"txt":"Funny Text","rating":4,"at":1696006585627,"by":{"_id":"65168a52efb39746c4278d46","fullName":"alon","userName":"alon"},"id":"1dO3t"},{"txt":"Funny Text","rating":2,"at":1696057945800,"by":{"_id":"6517c91806d0ad2478e2bcd1","fullName":"carmel amarilio","userName":"carmel","cart":[]},"id":"dRiyJ"}],"msgs":[],"quantity":2},{"_id":"6516ddf83160ba60a40da69f","name":"Talking Doll","price":123,"labels":["Doll","Battery Powered","Baby"],"createdAt":1695997431763,"inStock":true,"reviews":[],"quantity":1}]} 
1.10.2023, 14:53:49 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 14:53:49 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 14:53:50 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:17:16 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:17:16 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:17:16 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:18:29 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:18:29 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:18:29 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:18:52 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:18:52 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:18:52 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:31:21 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:31:21 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:31:21 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:31:42 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:31:42 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:31:42 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:37:06 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:37:59 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:42:40 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:42:40 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:42:40 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:43:01 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:43:01 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:43:01 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:56:50 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:56:50 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:56:50 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:57:09 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:57:09 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:57:10 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:57:13 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:57:13 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:57:13 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:57:59 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:58:00 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:58:00 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:58:16 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:58:16 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 15:58:16 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:21:59 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:21:59 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:21:59 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:22:17 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:22:18 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:22:18 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:23:06 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:23:06 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:23:06 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:30:56 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:30:56 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:30:56 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:31:42 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:31:42 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:31:43 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:32:49 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:32:49 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:32:49 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:33:13 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:33:14 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:33:14 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:33:26 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:33:29 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:33:55 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:33:55 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:33:55 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:34:02 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:34:02 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:34:02 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:52:35 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:53:41 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:54:37 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:54:37 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:54:37 - DEBUG - Getting Toys | {"txt":""} 
1.10.2023, 16:55:44 - DEBUG - Getting Toys | {"txt":"","labels":["Battery Powered"]} 
1.10.2023, 16:58:15 - DEBUG - Getting Toys | {"txt":"","labels":["Battery Powered","On wheels"]} 
1.10.2023, 17:01:36 - DEBUG - Getting Toys | {"txt":"","labels":["Battery Powered","On wheels"]} 
